"var_nm_chr","var_cat_chr","var_desc_chr","var_type_chr"
"aqol6d_q1","Utility Questionaire Response","Assessment of Quality of Life (6 Dimension) Question 1","integer"
"aqol6d_q2","Utility Questionaire Response","Assessment of Quality of Life (6 Dimension) Question 2","integer"
"aqol6d_q3","Utility Questionaire Response","Assessment of Quality of Life (6 Dimension) Question 3","integer"
"aqol6d_q4","Utility Questionaire Response","Assessment of Quality of Life (6 Dimension) Question 4","integer"
"aqol6d_q5","Utility Questionaire Response","Assessment of Quality of Life (6 Dimension) Question 5","integer"
"aqol6d_q6","Utility Questionaire Response","Assessment of Quality of Life (6 Dimension) Question 6","integer"
"aqol6d_q7","Utility Questionaire Response","Assessment of Quality of Life (6 Dimension) Question 7","integer"
"aqol6d_q8","Utility Questionaire Response","Assessment of Quality of Life (6 Dimension) Question 8","integer"
"aqol6d_q9","Utility Questionaire Response","Assessment of Quality of Life (6 Dimension) Question 9","integer"
"aqol6d_q10","Utility Questionaire Response","Assessment of Quality of Life (6 Dimension) Question 10","integer"
"aqol6d_q11","Utility Questionaire Response","Assessment of Quality of Life (6 Dimension) Question 11","integer"
"aqol6d_q12","Utility Questionaire Response","Assessment of Quality of Life (6 Dimension) Question 12","integer"
"aqol6d_q13","Utility Questionaire Response","Assessment of Quality of Life (6 Dimension) Question 13","integer"
"aqol6d_q14","Utility Questionaire Response","Assessment of Quality of Life (6 Dimension) Question 14","integer"
"aqol6d_q15","Utility Questionaire Response","Assessment of Quality of Life (6 Dimension) Question 15","integer"
"aqol6d_q16","Utility Questionaire Response","Assessment of Quality of Life (6 Dimension) Question 16","integer"
"aqol6d_q17","Utility Questionaire Response","Assessment of Quality of Life (6 Dimension) Question 17","integer"
"aqol6d_q18","Utility Questionaire Response","Assessment of Quality of Life (6 Dimension) Question 18","integer"
"aqol6d_q19","Utility Questionaire Response","Assessment of Quality of Life (6 Dimension) Question 19","integer"
"aqol6d_q20","Utility Questionaire Response","Assessment of Quality of Life (6 Dimension) Question 20","integer"
"dvQ1","Utility Item Disvalue","Assessment of Quality of Life (6 Dimension) Item Disvalue1","numeric"
"dvQ2","Utility Item Disvalue","Assessment of Quality of Life (6 Dimension) Item Disvalue2","numeric"
"dvQ3","Utility Item Disvalue","Assessment of Quality of Life (6 Dimension) Item Disvalue3","numeric"
"dvQ4","Utility Item Disvalue","Assessment of Quality of Life (6 Dimension) Item Disvalue4","numeric"
"dvQ5","Utility Item Disvalue","Assessment of Quality of Life (6 Dimension) Item Disvalue5","numeric"
"dvQ6","Utility Item Disvalue","Assessment of Quality of Life (6 Dimension) Item Disvalue6","numeric"
"dvQ7","Utility Item Disvalue","Assessment of Quality of Life (6 Dimension) Item Disvalue7","numeric"
"dvQ8","Utility Item Disvalue","Assessment of Quality of Life (6 Dimension) Item Disvalue8","numeric"
"dvQ9","Utility Item Disvalue","Assessment of Quality of Life (6 Dimension) Item Disvalue9","numeric"
"dvQ10","Utility Item Disvalue","Assessment of Quality of Life (6 Dimension) Item Disvalue10","numeric"
"dvQ11","Utility Item Disvalue","Assessment of Quality of Life (6 Dimension) Item Disvalue11","numeric"
"dvQ12","Utility Item Disvalue","Assessment of Quality of Life (6 Dimension) Item Disvalue12","numeric"
"dvQ13","Utility Item Disvalue","Assessment of Quality of Life (6 Dimension) Item Disvalue13","numeric"
"dvQ14","Utility Item Disvalue","Assessment of Quality of Life (6 Dimension) Item Disvalue14","numeric"
"dvQ15","Utility Item Disvalue","Assessment of Quality of Life (6 Dimension) Item Disvalue15","numeric"
"dvQ16","Utility Item Disvalue","Assessment of Quality of Life (6 Dimension) Item Disvalue16","numeric"
"dvQ17","Utility Item Disvalue","Assessment of Quality of Life (6 Dimension) Item Disvalue17","numeric"
"dvQ18","Utility Item Disvalue","Assessment of Quality of Life (6 Dimension) Item Disvalue18","numeric"
"dvQ19","Utility Item Disvalue","Assessment of Quality of Life (6 Dimension) Item Disvalue19","numeric"
"dvQ20","Utility Item Disvalue","Assessment of Quality of Life (6 Dimension) Item Disvalue20","numeric"
"dvD1","Utility Dimension Disvalue","Disvalue Score for Dimension 1 - Independent Living","numeric"
"dvD2","Utility Dimension Disvalue","Disvalue Score for Dimension 2 - Relationships","numeric"
"dvD3","Utility Dimension Disvalue","Disvalue Score for Dimension 3 - Mental Health","numeric"
"dvD4","Utility Dimension Disvalue","Disvalue Score for Dimension 4 - Coping","numeric"
"dvD5","Utility Dimension Disvalue","Disvalue Score for Dimension 5 - Pain","numeric"
"dvD6","Utility Dimension Disvalue","Disvalue Score for Dimension 6 - Senses","numeric"
"vD1","Utility Dimension Score (Adult)","Adult Score Dimension 1 - Independent Living","numeric"
"vD2","Utility Dimension Score (Adult)","Adult Score Dimension 2 - Relationships","numeric"
"vD3","Utility Dimension Score (Adult)","Adult Score Dimension 3 - Mental Health","numeric"
"vD4","Utility Dimension Score (Adult)","Adult Score Dimension 4 - Coping"".","numeric"
"vD5","Utility Dimension Score (Adult)","Adult Score Dimension 5 - Pain","numeric"
"vD6","Utility Dimension Score (Adult)","Adult Score Dimension 6 - Senses","numeric"
"duaqol","Utility Overall Score (Disvalue Scale)","Overall score on a 0-1 disvalue scale","numeric"
"duaqolld","Utility Overall Score (Life-Death Scale)","Overall score on a life-death disutility scale","numeric"
"duAQoL6D_t","Utility Overall Score (Adolescent Disutility Scale)","AQoL-6D Adolescent Disutility Score","numeric"
"duAQoL6D","Utility Overall Score (Adolescent Disutility Scale)","AQoL-6D Adolescent Disutility Score","numeric"
"uAQoL6D","Utility Overall Score (Instrument)","Instrument utility score","numeric"
"uAQoL6DRotated","Utility Overall Score (Instrument - Rotated)","Instrument utility score rotated","numeric"
"aqol6d_total_w","Utility Overall Score (Final Weighted)","AQOL 6D ADOLESCENT Utility Score","numeric"
