"fns_chr","title_chr","desc_chr","details_chr","inc_for_main_user_lgl","output_chr","example_lgl","args_ls","file_nm_chr","file_pfx_chr"
"add_adol6d_scores","Add adol6d scores","add_adol6d_scores() is an Add function that updates an object by adding data to that object. Specifically, this function implements an algorithm to add adol6d scores. Function argument unscored_aqol_tb specifies the object to be updated. The function returns Transformed Assessment of Quality of Life (a tibble).",NA,FALSE,"Tfd aqol (a tibble)",FALSE,"c(unscored_aqol_tb = ""Unscored Assessment of Quality of Life (a tibble)"", prefix_1L_chr = ""Prefix (a character vector of length one)"", id_var_nm_1L_chr = ""Id var name (a character vector of length one)"", wtd_aqol_var_nm_1L_chr = ""Wtd Assessment of Quality of Life var name (a character vector of length one)"")","add.R","fn_"
"add_aqol6d_adol_dim_scrg_eqs","Add Assessment of Quality of Life Six Dimension adolescent dimension scoring equations","add_aqol6d_adol_dim_scrg_eqs() is an Add function that updates an object by adding data to that object. Specifically, this function implements an algorithm to add assessment of quality of life six dimension adolescent dimension scoring equations. Function argument unscored_aqol_tb specifies the object to be updated. The function returns Unscored Assessment of Quality of Life (a tibble).",NA,FALSE,"Unscored aqol (a tibble)",FALSE,"Unscored Assessment of Quality of Life (a tibble)","add.R","fn_"
"add_aqol6d_items_to_aqol6d_tbs_ls","Add Assessment of Quality of Life Six Dimension items to Assessment of Quality of Life Six Dimension tibbles","add_aqol6d_items_to_aqol6d_tbs_ls() is an Add function that updates an object by adding data to that object. Specifically, this function implements an algorithm to add assessment of quality of life six dimension items to assessment of quality of life six dimension tibbles list. Function argument aqol6d_tbs_ls specifies the object to be updated. The function returns Updated Assessment of Quality of Life Six Dimension tibbles (a list).",NA,FALSE,"Updated aqol6d tibbles (a list)",FALSE,"c(aqol6d_tbs_ls = ""Assessment of Quality of Life Six Dimension tibbles (a list)"", aqol_items_props_tbs_ls = ""Assessment of Quality of Life items props tibbles (a list)"", prefix_chr = ""Prefix (a character vector)"", aqol_tots_var_nms_chr = ""Assessment of Quality of Life totals var names (a character vector)"", id_var_nm_1L_chr = ""Id var name (a character vector of length one)"", scaling_cnst_dbl = ""Scaling cnst (a double vector)"")","add.R","fn_"
"add_aqol6dU_to_aqol6d_items_tb","Add Assessment of Quality of Life Six Dimension Health Utility to Assessment of Quality of Life Six Dimension items","add_aqol6dU_to_aqol6d_items_tb() is an Add function that updates an object by adding data to that object. Specifically, this function implements an algorithm to add assessment of quality of life six dimension health utility to assessment of quality of life six dimension items tibble. Function argument aqol6d_items_tb specifies the object to be updated. The function returns Assessment of Quality of Life Six Dimension items (a tibble).",NA,TRUE,"Aqol6d items (a tibble)",FALSE,"c(aqol6d_items_tb = ""Assessment of Quality of Life Six Dimension items (a tibble)"", coeffs_lup_tb = ""Coeffs lookup table (a tibble)"")","add.R","fn_"
"add_aqol6dU_to_aqol6d_tbs_ls","Add Assessment of Quality of Life Six Dimension Health Utility to Assessment of Quality of Life Six Dimension tibbles","add_aqol6dU_to_aqol6d_tbs_ls() is an Add function that updates an object by adding data to that object. Specifically, this function implements an algorithm to add assessment of quality of life six dimension health utility to assessment of quality of life six dimension tibbles list. Function argument aqol6d_tbs_ls specifies the object to be updated. The function returns Assessment of Quality of Life Six Dimension tibbles (a list).",NA,FALSE,"Aqol6d tibbles (a list)",FALSE,"c(aqol6d_tbs_ls = ""Assessment of Quality of Life Six Dimension tibbles (a list)"", prefix_1L_chr = ""Prefix (a character vector of length one)"", id_var_nm_1L_chr = ""Id var name (a character vector of length one)"")","add.R","fn_"
"add_cors_and_uts_to_aqol6d_tbs_ls","Add cors and uts to Assessment of Quality of Life Six Dimension tibbles","add_cors_and_uts_to_aqol6d_tbs_ls() is an Add function that updates an object by adding data to that object. Specifically, this function implements an algorithm to add cors and uts to assessment of quality of life six dimension tibbles list. Function argument aqol6d_tbs_ls specifies the object to be updated. The function returns Assessment of Quality of Life Six Dimension tibbles (a list).",NA,FALSE,"Aqol6d tibbles (a list)",FALSE,"c(aqol6d_tbs_ls = ""Assessment of Quality of Life Six Dimension tibbles (a list)"", aqol_scores_pars_ls = ""Assessment of Quality of Life scores parameters (a list)"", aqol_items_props_tbs_ls = ""Assessment of Quality of Life items props tibbles (a list)"", temporal_cors_ls = ""Temporal cors (a list)"", prefix_chr = ""Prefix (a character vector)"", aqol_tots_var_nms_chr = ""Assessment of Quality of Life totals var names (a character vector)"", id_var_nm_1L_chr = ""Id var name (a character vector of length one)""
)","add.R","fn_"
"add_dim_disv_to_aqol6d_items_tb","Add dimension disvalue to Assessment of Quality of Life Six Dimension items","add_dim_disv_to_aqol6d_items_tb() is an Add function that updates an object by adding data to that object. Specifically, this function implements an algorithm to add dimension disvalue to assessment of quality of life six dimension items tibble. Function argument aqol6d_items_tb specifies the object to be updated. The function returns Assessment of Quality of Life Six Dimension items (a tibble).",NA,TRUE,"Aqol6d items (a tibble)",FALSE,"c(aqol6d_items_tb = ""Assessment of Quality of Life Six Dimension items (a tibble)"", domain_items_ls = ""Domain items (a list)"", domains_chr = ""Domains (a character vector)"", dim_sclg_con_lup_tb = ""Dimension sclg con lookup table (a tibble)"", itm_wrst_wghts_lup_tb = ""Itm wrst wghts lookup table (a tibble)"")","add.R","fn_"
"add_dim_scores_to_aqol6d_items_tb","Add dimension scores to Assessment of Quality of Life Six Dimension items","add_dim_scores_to_aqol6d_items_tb() is an Add function that updates an object by adding data to that object. Specifically, this function implements an algorithm to add dimension scores to assessment of quality of life six dimension items tibble. Function argument aqol6d_items_tb specifies the object to be updated. The function returns Assessment of Quality of Life Six Dimension items (a tibble).",NA,TRUE,"Aqol6d items (a tibble)",FALSE,"c(aqol6d_items_tb = ""Assessment of Quality of Life Six Dimension items (a tibble)"", domain_items_ls = ""Domain items (a list)"")","add.R","fn_"
"add_itm_disv_to_aqol6d_itms_tb","Add itm disvalue to Assessment of Quality of Life Six Dimension itms","add_itm_disv_to_aqol6d_itms_tb() is an Add function that updates an object by adding data to that object. Specifically, this function implements an algorithm to add itm disvalue to assessment of quality of life six dimension itms tibble. Function argument aqol6d_items_tb specifies the object to be updated. The function returns Assessment of Quality of Life Six Dimension items (a tibble).",NA,TRUE,"Aqol6d items (a tibble)",FALSE,"c(aqol6d_items_tb = ""Assessment of Quality of Life Six Dimension items (a tibble)"", disvalues_lup_tb = ""Disvalues lookup table (a tibble)"", pfx_1L_chr = ""Prefix (a character vector of length one)"")","add.R","fn_"
"add_labels_to_aqol6d_tb","Add labels to Assessment of Quality of Life Six Dimension","add_labels_to_aqol6d_tb() is an Add function that updates an object by adding data to that object. Specifically, this function implements an algorithm to add labels to assessment of quality of life six dimension tibble. Function argument aqol6d_tb specifies the object to be updated. The function returns Assessment of Quality of Life Six Dimension (a tibble).",NA,TRUE,"Aqol6d (a tibble)",FALSE,"c(aqol6d_tb = ""Assessment of Quality of Life Six Dimension (a tibble)"", labels_chr = ""Labels (a character vector)"")","add.R","fn_"
"add_uids_to_tbs_ls","Add uids to tibbles","add_uids_to_tbs_ls() is an Add function that updates an object by adding data to that object. Specifically, this function implements an algorithm to add uids to tibbles list. Function argument tbs_ls specifies the object to be updated. The function returns Tibbles (a list).",NA,TRUE,"Tibbles (a list)",FALSE,"c(tbs_ls = ""Tibbles (a list)"", prefix_1L_chr = ""Prefix (a character vector of length one)"", id_var_nm_1L_chr = ""Id var name (a character vector of length one)"")","add.R","fn_"
"add_unwtd_dim_tots","Add unwtd dimension totals","add_unwtd_dim_tots() is an Add function that updates an object by adding data to that object. Specifically, this function implements an algorithm to add unwtd dimension totals. Function argument items_tb specifies the object to be updated. The function returns Items and domains (a tibble).",NA,TRUE,"Items and domains (a tibble)",FALSE,"c(items_tb = ""Items (a tibble)"", domain_items_ls = ""Domain items (a list)"", domain_pfx_1L_chr = ""Domain prefix (a character vector of length one)"")","add.R","fn_"
"add_wtd_dim_tots","Add wtd dimension totals","add_wtd_dim_tots() is an Add function that updates an object by adding data to that object. Specifically, this function implements an algorithm to add wtd dimension totals. Function argument unwtd_dim_tb specifies the object to be updated. The function returns Wtd and unwtd dimension (a tibble).",NA,FALSE,"Wtd and unwtd dim (a tibble)",FALSE,"c(unwtd_dim_tb = ""Unwtd dimension (a tibble)"", domain_items_ls = ""Domain items (a list)"", domain_unwtd_pfx_1L_chr = ""Domain unwtd prefix (a character vector of length one)"", domain_wtd_pfx_1L_chr = ""Domain wtd prefix (a character vector of length one)"")","add.R","fn_"
