"type_chr","val_chr","pt_ns_chr","fn_to_call_chr","default_val_chr","old_class_lgl"
"character","NA_character_","base","","NA_character_",FALSE
"list","list(list())","base","list","list()",FALSE
"logical","NA","base","","NA",FALSE
"numeric","NA_real_","base","","NA_real_",FALSE
"POSIXt",".POSIXct(NA_character_)","base",".POSIXct","NA_character_",FALSE
"sf","sf::st_sf(sf::st_sfc())","sf","st_sf","sf::st_sfc()",FALSE
"tbl_df","tibble::tibble()","tibble","tibble","",FALSE
"integer","NA_integer_","base","","NA_integer_",FALSE
"ready4_constructor_tbl","ready4class::ready4_constructor_tbl()","ready4class","ready4_constructor_tbl","",TRUE
"ready4_class_pt_lup","ready4class::ready4_class_pt_lup()","ready4class","ready4_class_pt_lup","",TRUE
"ready4_dist","ready4use::ready4_dist()","ready4use","ready4_dist","",TRUE
"ready4_dv_import_lup","ready4use::ready4_dv_import_lup()","ready4use","ready4_dv_import_lup","",TRUE
"ready4_all_import_lup","ready4use::ready4_all_import_lup()","ready4use","ready4_all_import_lup","",TRUE
"ready4_par_struc_mape","ready4use::ready4_par_struc_mape()","ready4use","ready4_par_struc_mape","",TRUE
"ready4_dictionary","ready4use::ready4_dictionary()","ready4use","ready4_dictionary","",TRUE
"ready4_local","ready4use::ready4_local()","ready4use","ready4_local","",FALSE
"ready4_local_raw","ready4use::ready4_local_raw()","ready4use","ready4_local_raw","",FALSE
"ready4_local_proc","ready4use::ready4_local_proc()","ready4use","ready4_local_proc","",FALSE
"ready4_script_data","ready4use::ready4_script_data()","ready4use","ready4_script_data","",FALSE
"firstbounce_aqol6d_adol","firstbounce_aqol6d_adol()","map2aqol","firstbounce_aqol6d_adol","",TRUE
"firstbounce_phq9","firstbounce_phq9()","map2aqol","firstbounce_phq9","",TRUE
"firstbounce_bads","firstbounce_bads()","map2aqol","firstbounce_bads","",TRUE
"firstbounce_gad7","firstbounce_gad7()","map2aqol","firstbounce_gad7","",TRUE
"firstbounce_oasis","firstbounce_oasis()","map2aqol","firstbounce_oasis","",TRUE
"firstbounce_scared","firstbounce_scared()","map2aqol","firstbounce_scared","",TRUE
"firstbounce_k6","firstbounce_k6()","map2aqol","firstbounce_k6","",TRUE
